store_name,experience,total_sales,url,id,title,months_sales,price,profit,category,fecha_info,sold_products,mercado_lider,url_pagination
HP Tienda oficial,1,1,https://articulo.mercadolibre.com.co/MCO-458992303-torre-cpu-gamer-fx-6300-gt-710-1tb-ram-8gb-pc-wifi-gratis-_JM,MCO458992303,Torre Cpu Gamer Fx 6300 Gt 710 1tb Ram 8gb Pc Wifi Gratis,1,1249900,28747700,Computadores,2018-09-10,23,1,https://computacion.mercadolibre.com.co/
Lenovo Tienda oficial,1,319,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,3,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
GOSMART COLOMBIA,3,399,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,3,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
MUNDIAL.DE.PC,10,572,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,5,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
ELPCVELOZ,6,269,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,2,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
VENTASYOUPCSTORE,1,582,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,5,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
EQUIMPORT1000,9,213,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,2,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
BOGOTAELECTRONICA,1,6,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,6,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
DECME COLOMBIA,2,2,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,2,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
Epson Tienda oficial,1,340,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,3,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
ERGO HEALTH,9,207,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,2,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
POWERCOMPUTERBGA,3,1,https://articulo.mercadolibre.com.co/MCO-453107202-router-repetidor-tenda-inalambrico-n301-alto-rendimiento--_JM,MCO453107202,Router Repetidor Tenda Inalámbrico N301 Alto Rendimiento !!!,1,41300,30190300,Redes y Redes Inalámbricas,2018-09-10,731,1,https://computacion.mercadolibre.com.co/
