price,title,url,category,url_images,condition1
17.900,Forro Sillín Asiento Galapago Silicona Spinning Bicicletas,Forro Sillín Asiento Galapago Silicona Spinning Bicicletas,Bicicletas y Ciclismo,"https://http2.mlstatic.com/forro-sillin-asiento-galapago-silicona-spinning-bicicletas-D_NQ_NP_843087-MCO25723724885_072017-O.jpg,https://http2.mlstatic.com/forro-sillin-asiento-galapago-silicona-spinning-bicicletas-D_NQ_NP_946996-MCO25723725448_072017-O.jpg,https://http2.mlstatic.com/forro-sillin-asiento-galapago-silicona-spinning-bicicletas-D_NQ_NP_927050-MCO25723725456_072017-O.jpg,https://http2.mlstatic.com/forro-sillin-asiento-galapago-silicona-spinning-bicicletas-D_NQ_NP_844063-MCO25723725965_072017-O.jpg",10
169.900,Tenedor Suspension Amortiguador Gw Oversize Rin 29,Tenedor Suspension Amortiguador Gw Oversize Rin 29,Bicicletas y Ciclismo,"https://http2.mlstatic.com/tenedor-suspension-amortiguador-gw-oversize-rin-29-D_NQ_NP_736825-MCO25517734712_042017-O.jpg,https://http2.mlstatic.com/tenedor-suspension-amortiguador-gw-oversize-rin-29-D_NQ_NP_696825-MCO25517733364_042017-O.jpg,https://http2.mlstatic.com/tenedor-suspension-amortiguador-gw-oversize-rin-29-D_NQ_NP_956825-MCO25517738630_042017-O.jpg,https://http2.mlstatic.com/tenedor-suspension-amortiguador-gw-oversize-rin-29-D_NQ_NP_666825-MCO25517741009_042017-O.jpg,https://http2.mlstatic.com/tenedor-suspension-amortiguador-gw-oversize-rin-29-D_NQ_NP_787825-MCO25517739031_042017-O.jpg,https://http2.mlstatic.com/tenedor-suspension-amortiguador-gw-oversize-rin-29-D_NQ_NP_877825-MCO25517739361_042017-O.jpg",0
1.299.900,Grupo Shimano Tiagra 10 Vel Para Ruta 8 Componentes,Grupo Shimano Tiagra 10 Vel Para Ruta 8 Componentes,Bicicletas y Ciclismo,"https://http2.mlstatic.com/grupo-shimano-tiagra-10-vel-para-ruta-8-componentes-D_NQ_NP_791725-MCO25480469336_042017-O.jpg,https://http2.mlstatic.com/grupo-shimano-tiagra-10-vel-para-ruta-8-componentes-D_NQ_NP_727625-MCO25480469292_042017-O.jpg,https://http2.mlstatic.com/grupo-shimano-tiagra-10-vel-para-ruta-8-componentes-D_NQ_NP_270725-MCO25480473179_042017-O.jpg",1
209.000,3k De Carbono Mtb Montaña Ruta Bici Manillar Plano Integrada,3k De Carbono Mtb Montaña Ruta Bici Manillar Plano Integrada,Bicicletas y Ciclismo,,4
189.990,Pedales De Ruta Pd-r550,Pedales De Ruta Pd-r550,Bicicletas y Ciclismo,https://http2.mlstatic.com/pedales-de-ruta-pd-r550-D_NQ_NP_581125-MCO25378874667_022017-O.jpg,10
2.720.000,Grupo Shimano Deore Xt Biplato 11 Velocidades Hidraulico,Grupo Shimano Deore Xt Biplato 11 Velocidades Hidraulico,Bicicletas y Ciclismo,https://http2.mlstatic.com/grupo-shimano-deore-xt-biplato-11-velocidades-hidraulico-D_NQ_NP_929325-MCO25424949791_032017-O.jpg,1
535.900,Marco Aluminio Flamma Gw Tenedor En Carbono Para Ruta,Marco Aluminio Flamma Gw Tenedor En Carbono Para Ruta,Bicicletas y Ciclismo,"https://http2.mlstatic.com/marco-aluminio-flamma-gw-tenedor-en-carbono-para-ruta-D_NQ_NP_623725-MCO25503812676_042017-O.jpg,https://http2.mlstatic.com/marco-aluminio-flamma-gw-tenedor-en-carbono-para-ruta-D_NQ_NP_813825-MCO25503812692_042017-O.jpg,https://http2.mlstatic.com/marco-aluminio-flamma-gw-tenedor-en-carbono-para-ruta-D_NQ_NP_714725-MCO25503808741_042017-O.jpg,https://http2.mlstatic.com/marco-aluminio-flamma-gw-tenedor-en-carbono-para-ruta-D_NQ_NP_710825-MCO25503807478_042017-O.jpg",1
19.500,Coraza O Llanta Rin 700 X38c / Llanta Pistera Para Rin 29,Coraza O Llanta Rin 700 X38c / Llanta Pistera Para Rin 29,Bicicletas y Ciclismo,,12
870.000,Grupo Shimano Alivio Hidrahulico M4050 9 Velocidades,Grupo Shimano Alivio Hidrahulico M4050 9 Velocidades,Bicicletas y Ciclismo,"https://http2.mlstatic.com/grupo-shimano-alivio-hidrahulico-m4050-9-velocidades-D_NQ_NP_23014-MCO20240152400_022015-O.jpg,https://http2.mlstatic.com/grupo-shimano-alivio-hidrahulico-m4050-9-velocidades-D_NQ_NP_23025-MCO20240150912_022015-O.jpg,https://http2.mlstatic.com/grupo-shimano-alivio-hidrahulico-m4050-9-velocidades-D_NQ_NP_23015-MCO20240154844_022015-O.jpg,https://http2.mlstatic.com/grupo-shimano-alivio-hidrahulico-m4050-9-velocidades-D_NQ_NP_23054-MCO20240150861_022015-O.jpg,https://http2.mlstatic.com/grupo-shimano-alivio-hidrahulico-m4050-9-velocidades-D_NQ_NP_23037-MCO20240152487_022015-O.jpg,https://http2.mlstatic.com/grupo-shimano-alivio-hidrahulico-m4050-9-velocidades-D_NQ_NP_23003-MCO20240156627_022015-O.jpg",11
36.990,"Cinta Antipinchazos Banda Bici Mtb-ruta 26  27,5  29  700c","Cinta Antipinchazos Banda Bici Mtb-ruta 26  27,5  29  700c",Bicicletas y Ciclismo,"https://http2.mlstatic.com/cinta-antipinchazos-banda-bici-mtb-ruta-26-275-29-700c-D_NQ_NP_868961-MCO25853997643_082017-O.jpg,https://http2.mlstatic.com/cinta-antipinchazos-banda-bici-mtb-ruta-26-275-29-700c-D_NQ_NP_636659-MCO25853998080_082017-O.jpg,https://http2.mlstatic.com/cinta-antipinchazos-banda-bici-mtb-ruta-26-275-29-700c-D_NQ_NP_915949-MCO25853995430_082017-O.jpg,https://http2.mlstatic.com/cinta-antipinchazos-banda-bici-mtb-ruta-26-275-29-700c-D_NQ_NP_757124-MCO25853994343_082017-O.jpg",20
